Cuber,Solves
 Max Park ,"['6.47', '7.50', '6.83', '7.11', '5.70', '7.01', '5.34', '5.12', '5.35', '7.48', '6.93', '5.99', '6.44', '5.64', '5.88', '5.30', '5.83', '7.29', '5.41', '4.65', '5.51', '5.11', '5.83', '5.76', '6.03', '5.09', '7.00', '5.08', '5.02', '6.35', '6.01', '4.44', '5.92', '5.47', '5.98', '5.86', '5.21', '5.04', '6.21', '6.31', '5.59', '5.66', '4.99', '7.41', '5.49', '5.13', '5.64', '5.92', '5.67', '5.67']"
 Luke Garrett ,"['5.67', '6.38', '6.58', '8.77', '6.77', '6.30', '6.67', '5.12', '7.97', '5.64', '7.92', '5.31', '6.70', '7.11', '4.76', '6.37', '7.05', '5.49', '4.84', '5.86', '5.98', '5.98', '5.50', '6.45', '4.90', '7.32', '5.30', '6.03', '6.11', '4.93', '6.49', '7.30', '7.15', '7.94', '7.90', '6.52', '0', '6.86', '7.84', '6.21', '5.04', '5.62', '4.95', '5.73', '8.17', '6.69', '7.94', '5.51', '5.92', '6.07']"
 Yiheng Wang (王艺衡) ,"['6.81', '5.55', '4.94', '3.66', '4.23', '4.86', '4.96', '4.69', '7.12', '3.85', '4.10', '6.13', '5.20', '4.48', '5.19', '4.57', '4.31', '5.42', '5.95', '5.16', '4.09', '4.92', '0', '5.06', '6.42', '5.63', '5.97', '5.22', '4.19', '4.76', '4.65', '5.88', '4.73', '5.49', '0', '5.37', '5.53', '6.06', '5.13', '6.30', '4.87', '6.16', '4.74', '4.68', '4.13', '5.12', '6.21', '7.84', '5.68', '5.94']"
 Yusheng Du (杜宇生) ,"['10.39', '8.50', '6.11', '0', '5.60', '6.52', '7.21', '6.76', '7.48', '7.40', '5.77', '7.30', '6.08', '7.05', '6.21', '7.13', '7.34', '6.99', '6.63', '7.31', '6.98', '7.69', '0', '6.18', '9.14', '6.48', '5.62', '6.21', '8.87', '6.91', '7.48', '0', '7.46', '6.17', '0', '8.77', '6.85', '8.22', '7.68', '6.89', '10.07', '7.23', '7.08', '6.58', '8.25', '7.13', '7.77', '6.52', '8.52', '7.72']"
 Tymon Kolasiński ,"['6.61', '5.68', '5.11', '5.61', '5.43', '5.87', '5.49', '5.81', '5.10', '4.62', '5.35', '5.96', '5.26', '5.31', '5.32', '5.25', '5.81', '4.78', '5.99', '5.17', '4.14', '5.16', '4.94', '5.36', '5.99', '4.58', '5.44', '4.80', '5.03', '5.50', '4.13', '5.18', '4.17', '5.16', '5.27', '5.72', '6.42', '4.90', '4.50', '5.03', '4.55', '5.81', '6.62', '6.68', '4.26', '5.45', '7.10', '6.30', '5.28', '4.98']"
 Claudio Matias Cancino Bruna ,"['7.16', '7.93', '8.92', '6.53', '5.19', '7.18', '7.21', '5.95', '6.57', '9.22', '7.13', '6.62', '0', '7.41', '5.99', '6.46', '7.19', '7.66', '6.69', '7.57', '6.69', '6.73', '6.85', '6.40', '8.33', '5.83', '5.57', '8.58', '7.34', '6.96', '6.21', '5.02', '5.93', '8.28', '8.89', '6.61', '5.90', '7.29', '6.33', '9.35', '7.36', '7.45', '6.46', '8.14', '0', '7.59', '6.94', '6.33', '7.16', '7.01']"
 Jode Brewster ,"['7.84', '8.77', '8.20', '7.93', '0', '9.60', '7.91', '6.75', '8.85', '7.93', '8.14', '6.50', '6.84', '7.85', '7.66', '6.36', '8.00', '7.09', '7.30', '6.57', '7.42', '6.76', '6.33', '7.71', '7.29', '7.01', '8.25', '10.88', '7.02', '7.31', '7.38', '7.28', '6.84', '9.95', '7.43', '7.82', '10.83', '8.25', '6.98', '8.26', '8.44', '7.72', '7.04', '6.91', '7.36', '6.76', '8.73', '7.00', '6.08', '7.75']"
 Asher Kim-Magierek ,"['9.63', '8.22', '6.60', '6.24', '6.09', '6.34', '6.01', '5.77', '4.72', '6.08', '5.48', '0', '9.78', '7.80', '6.56', '5.04', '0', '6.82', '7.45', '5.55', '6.86', '5.40', '5.76', '6.16', '0', '7.19', '7.56', '8.51', '6.11', '5.86', '6.55', '5.90', '6.26', '7.38', '0', '7.80', '6.23', '5.38', '7.19', '6.20', '7.62', '8.58', '6.76', '6.63', '6.43', '6.23', '5.87', '9.45', '6.26', '7.09']"
 Ruihang Xu (许瑞航) ,"['5.92', '4.09', '6.69', '5.35', '5.96', '4.65', '5.20', '5.93', '4.52', '4.67', '6.04', '10.77', '0', '5.09', '5.35', '5.82', '5.59', '4.60', '6.30', '5.84', '4.96', '6.15', '6.05', '5.93', '6.86', '5.78', '6.04', '5.11', '4.69', '4.90', '5.73', '5.21', '5.91', '4.73', '5.82', '4.92', '6.48', '5.90', '5.10', '4.81', '5.12', '5.25', '5.87', '5.31', '5.58', '4.25', '5.63', '6.66', '5.02', '5.27']"
 Natthaphat Mahtani (ณัฐภัทร จี มาทานี) ,"['8.51', '7.81', '6.91', '7.46', '7.38', '11.03', '7.72', '7.22', '7.16', '8.90', '7.95', '6.38', '7.29', '8.02', '6.94', '5.41', '6.23', '7.36', '7.89', '7.75', '7.09', '7.47', '6.63', '7.13', '6.53', '8.73', '6.92', '7.32', '5.92', '7.80', '9.21', '8.34', '0', '7.63', '7.40', '6.51', '4.64', '8.22', '7.03', '8.09', '6.12', '8.12', '7.39', '9.72', '8.87', '8.28', '9.50', '8.90', '7.98', '6.51']"
