Index,Cuber,Score
20, Xuanyi Geng (耿暄一) ,75.6608356
17, Feliks Zemdegs ,75.6424076
4, Tymon Kolasiński ,75.58394960000001
2, Yiheng Wang (王艺衡) ,75.24568200000002
11, Matty Hiroto Inaba ,74.1648424
0, Max Park ,73.19426959999998
8, Ruihang Xu (许瑞航) ,72.5893352
14, Sean Patrick Villanueva ,72.4286912
26, Lingkun Jiang (姜凌坤) ,71.770882
24, Dylan Miller ,71.403066
5, Claudio Matias Cancino Bruna ,70.9917712
10, Max Siauw ,70.37169759999999
12, Radosław Marcinek ,70.26420719999999
16, Brendyn Dunagan ,70.0355296
22, Magdalena Pabisz ,69.14130279999999
19, Riley Dexter ,68.9652612
23, Patrick Ponce ,68.9297268
1, Luke Garrett ,68.69436200000001
13, Ianis Costin Chele ,68.41544599999999
18, Seung Hyuk Nahm (남승혁) ,68.08379920000002
7, Asher Kim-Magierek ,66.8309792
25, Kyle Santucci ,66.6599172
15, Brennen Lin ,66.09787560000001
9, Natthaphat Mahtani (ณัฐภัทร จี มาทานี) ,65.90864359999999
6, Jode Brewster ,64.50769120000001
3, Yusheng Du (杜宇生) ,63.810631600000015
21, Agustín Mera Landa ,60.2090016
