Cuber,Number of 3x3 World Records
 Max Park ,5
 Luke Garrett ,0
 Yiheng Wang (王艺衡) ,2
 Yusheng Du (杜宇生) ,1
 Tymon Kolasiński ,2
 Claudio Matias Cancino Bruna ,0
 Jode Brewster ,0
 Asher Kim-Magierek ,0
 Ruihang Xu (许瑞航) ,1
 Natthaphat Mahtani (ณัฐภัทร จี มาทานี) ,0
 Max Siauw ,0
 Matty Hiroto Inaba ,0
 Radosław Marcinek ,0
 Ianis Costin Chele ,0
 Sean Patrick Villanueva ,0
 Brennen Lin ,0
 Brendyn Dunagan ,0
 Feliks Zemdegs ,22
 Seung Hyuk Nahm (남승혁) ,0
 Riley Dexter ,0
 Xuanyi Geng (耿暄一) ,0
 Agustín Mera Landa ,0
 Magdalena Pabisz ,0
 Patrick Ponce ,1
 Dylan Miller ,0
 Kyle Santucci ,0
 Lingkun Jiang (姜凌坤) ,0
